Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6251563,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",4,4.28,William Morrow,Kindle Edition,276,2009,1939,,2021/08/02,,,read,,,,1,0
102927,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""057122413X""","=""9780571224135""",4,3.84,Faber & Faber,Paperback,282,2006,2005,,2022/05/24,,,read,,,,1,0
17416065,Looking For Alaska,John Green,"Green, John",,"=""0007523165""","=""9780007523160""",5,3.98,HarperCollins GB,Paperback,263,2013,2005,,2018/07/18,,,read,,,,1,0
8325796,The Veteran,Frederick Forsyth,"Forsyth, Frederick",,"=""055214939X""","=""9780552149396""",3,3.93,Corgi Adult,Paperback,367,2001,2000,,2022/06/13,,,read,,,,1,0
11222940,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",2,4.08,New Directions Publishing,Paperback,177,2001,1948,,2022/06/11,,,read,,,,1,0
56268907,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""1635577802""","=""9781635577808""",4,4.25,Bloomsbury Publishing,Paperback,272,2021,2020,2022/06/28,2022/06/13,,,read,"A book that starts off being extremely confusing, but very cleverly all starts to make sense. The best way I can describe this book is it feels like a dream you remember half of, and slowly start to piece it back together ",,,1,0
58028296,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408891387""","=""9781408891384""",5,4.38,Bloomsbury,Paperback,352,2017,2011,2022/07/06,2022/05/19,favorites,favorites (#4),read,,,,1,0
52922101,Recursion,Blake Crouch,"Crouch, Blake",,"=""1509866671""","=""9781509866670""",4,4.16,Pan,Paperback,384,2020,2019,2022/07/14,2022/05/25,,,read,,,,1,0
41045102,Circe,Madeline Miller,"Miller, Madeline",,"=""1408890046""","=""9781408890042""",3,4.26,Bloomsbury Publishing,Paperback,336,2019,2018,2022/08/15,2022/07/28,,,read,"Sadly, this book sent me into a reading slump. I was really excited after thoroughly adoring Song of Achilles by the same author. <br/><br/>The book was beautifully written, with memorable, gorgeous quotes such as ‘No wonder I have been so slow, I thought. All this while I have been a weaver without wool, a ship without the sea. Yet now look where I sail.’ and ‘But in a solitary life, there are rare moments when another soul dips near yours, as stars once a year brush the earth. Such a constellation was he to me.’ <br/><br/>However, there was (to me) no clear direction which the book was taking. Perhaps I just prefer plot focused books, as this was obviously very much about building the Circe character and the hardships she went through to make her the person she is at the end of the book. I wasn’t looking forward to picking the book up, and wasn’t overly interested in seeing the next hardship she would face. <br/><br/>However, the beautiful writing made up for this, hence the 3 star review. I do look forward to Millers ‘Persephone’ and hope it’ll be more like SoA! ",true,,1,0
143004,If on a Winter's Night a Traveller,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""""",4,4.05,Vintage Classics,Paperback,260,1998,1979,2022/09/01,2022/07/16,,,read,,,,1,0
57100060,The Dangers of Smoking in Bed: Stories,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,"=""""","=""9781783786718""",4,3.88,Granta Books,Paperback,187,2021,2009,2022/08/18,2022/07/06,,,read,"This book is a short story collection - It’s hard to give the collection a genre, but each story is weird and wonderful and haunting, yet captivating, leaving you wanting more whilst also questioning what it is you want more of<br/><br/>After reading, each story feels like a midday slumbers fever dream - although you get a full plot, you yearn for more than a glimpse into the universe which Enriquez builds (rather quickly) <br/><br/>Some stories are extremely strange, but it’s worth pushing through and allowing yourself to be weirded out, to be uncomfortable - the fact that words on a page can make you feel so disgusted says a lot about Enriquez’ writing",,,1,0
52544164,On Earth We’re Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""1529110688""","=""9781529110685""",4,4.05,Vintage,Paperback,242,2020,2019,2022/08/24,2022/06/13,,,read,"On Earth We're Briefly Gorgeous is somewhat autological - for it in itself is briefly gorgeous. <br/><br/>The book explores the life of a Vietnamese boy growing up in America, through the medium of letters to his mother - who is illiterate. It details how the boy - 'Little Dog' ventured his way through this life, the hardships which he endured, and how they affected him. This includes the lasting effect of war, abuse, homosexuality, and love. <br/><br/>Vuong has previously successfully published poetry, and that evidently manifests through his writing in this novel - the prose is most certainly the most beautiful I have ever read. The writing is largely metaphorical, and is open to interpretation. <br/><br/>Although indeed brief, this book is an emotional, important and truly gorgeous novel<br/><br/>4.5/5 ",,,1,0
6564051,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",4,4.14,Vintage,Paperback,505,2005,2002,2022/09/11,2022/06/07,,,read,,,,2,0
60105524,Galatea,Madeline Miller,"Miller, Madeline",,"=""1526652064""","=""9781526652065""",3,3.92,Bloomsbury,Hardcover,56,2022,2013,2022/09/12,2022/09/12,,,read,,,,1,0
